中央卫视频道,#genre#
CCTV4,http://121.60.56.116:10001/rtp/239.69.1.138:10466$湖北sxcp
CCTV4,http://171.213.129.79:3333/rtp/239.93.1.105:5140$四川cphp27
CCTV4,http://61.149.251.202:4022/rtp/239.3.1.105:8092$北京sxup
CCTV5,http://1.193.60.239:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$郑州电信
CCTV5,http://218.17.33.178:53290/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0$深圳电信1
CCTV5,http://122.189.103.26:8888/rtp/228.0.0.112:6108$湖北sxup
CCTV5,http://121.60.56.116:10001/rtp/239.69.1.13:9718$湖北sxcp
CCTV5,http://171.213.210.56:8188/rtp/239.93.42.37:5140$四川cip1
CCTV5,http://61.149.251.202:4022/rtp/239.3.1.173:8001$北京sxup
CCTV5,http://222.129.32.255:4022/rtp/239.3.1.173:8001$北京uip1
CCTV5,http://171.213.202.158:8022/rtp/239.93.42.37:5140$四川cphp39
CCTV5,http://171.213.193.108:8022/rtp/239.93.42.37:5140$四川cphp42
CCTV5,http://114.244.240.166:4022/rtp/239.3.1.173:8001$北京sxup
CCTV5,http://171.213.206.150:5555/rtp/239.93.42.37:5140$四川cphp6
CCTV5,http://121.60.56.116:10001/rtp/239.69.1.123:10376$湖北sxcp
CCTV5,http://171.213.205.11:4022/rtp/239.93.42.37:5140$四川cphp4
CCTV5+,http://110.181.238.30:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信10
CCTV5+,http://110.181.234.38:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信2
CCTV5+,http://110.181.236.164:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信9
CCTV5+,http://110.181.239.201:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信5
CCTV5+,http://110.181.237.186:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信13
CCTV5+,http://110.181.238.190:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信6
CCTV5+,http://110.181.232.202:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信11
CCTV5+,http://110.181.235.83:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信7
CCTV5+,http://110.181.234.85:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信8
CCTV5+,http://110.181.239.77:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信
CCTV5+,http://110.181.237.202:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$大同电信1
CCTV5+,http://218.17.33.178:53290/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$深圳电信1
